Method,Total,CPFA,CPPar,CPSen,NearCPFA,NearCPPar,NearCPSen,ParaphrasePar,ParaphraseSen
token overlap,0.82,1.0,0.67,0.92,1.0,0.8,0.82,0.5,0.67
edit distance,0.54,"(0, 3, 0, 3)",0.67,1.0,"(0, 2, 0, 2)",0.5,0.7,"(0, 2, 2, 2)",0.09
tf idf,0.73,1.0,0.67,0.96,1.0,0.5,0.61,0.67,0.56
source comparison,0.36,"(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
writer comparison,0.5,"(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)","(0, 0, 0, 0)"
ne overlap,0.32,1.0,"(0, 2, 0, 2)",0.86,1.0,0.5,0.8,"(0, 2, 9, 2)",0.05
ne overlap man,0.32,1.0,"(0, 2, 0, 2)",0.86,1.0,0.5,0.8,"(0, 2, 9, 2)",0.05
greedy ne tiling,0.34,"(0, 0, 0, 0)","(0, 2, 0, 2)",0.59,"(0, 0, 0, 0)",0.5,0.62,"(0, 2, 0, 2)",0.2
greedy ne tiling man,0.38,"(0, 0, 0, 0)","(0, 2, 0, 2)",0.59,"(0, 0, 0, 0)",0.5,0.62,"(0, 2, 0, 2)",0.25
longest common ne sequence,0.3,"(0, 0, 0, 0)","(0, 2, 0, 2)",0.59,"(0, 0, 0, 0)",0.8,0.71,"(0, 2, 0, 2)",0.14
longest common ne sequence man,0.3,"(0, 0, 0, 0)","(0, 2, 0, 2)",0.59,"(0, 0, 0, 0)",0.5,0.62,"(0, 2, 0, 2)",0.16
ne coupling,0.23,"(0, 0, 0, 0)","(0, 2, 0, 2)",0.5,"(0, 0, 0, 0)","(0, 3, 0, 3)",0.36,"(0, 2, 0, 2)",0.17
ne coupling man,0.25,"(0, 0, 0, 0)","(0, 2, 0, 2)",0.5,"(0, 0, 0, 0)","(0, 3, 0, 3)",0.36,"(0, 2, 0, 2)",0.18
